The list below shows every twentieth entry from the 100,000 word list (http://www.wordfrequency.info/100k.asp) that is
based on the 450 million word Corpus of Contemporary American English (COCA; http://corpus.byu.edu/coca).

These words are taken completely at random -- every twentieth word. No attempt has been made to "clean up" this particular list, 
beyond our regular correction efforts for all 100,000 words. While the list is not perfect, we would argue that it is much more 
accurate than any other 100,000 word list (see #4 at http://www.wordfrequency.info/100k_compare.asp).


This sample list shows just six pieces of information for each word (including the raw frequency in COCA* and the number of
texts in COCA that have the word#). The full list, on the other hand, includes more than 50 pieces of data, 
including the frequency  in other BYU corpora (http://corpus.byu.edu), such as BYU-BNC, COHA, and SOAP, as well as 
specific genres within these corpora, such as spoken, fiction, magazines, newspapers, and academic.



rank	freq*	texts#	word	lemma	PoS (part of speech; see http://ucrel.lancs.ac.uk/claws7tags.html)
76400	38	32	first-level	first-level	jj
76420	38	31	snow-packed	snow-packed	jj
76440	38	31	renames	rename	vvz
76460	38	30	pressroom	pressroom	nn1
76480	38	29	five-item	five-item	jj
76500	38	28	swivelled	swivel	vvd
76520	38	27	ordinations	ordination	nn2
76540	38	25	bomblets	bomblet	nn2
76560	38	24	nonmarital	nonmarital	jj
76580	38	23	rank-ordered	rank-ordered	jj
76600	38	21	portcullis	portcullis	nn2
76620	38	19	justificatory	justificatory	jj
76640	38	15	divinations	divination	nn2
76660	38	11	sapiential	sapiential	jj
76680	38	5	hypervisor	hypervisor	nn1
76700	37	37	reed-thin	reed-thin	jj
76720	37	37	loans	loan	vvz
76740	37	37	back-of-the-envelope	back-of-the-envelope	jj
76760	37	36	no-sweat	no-sweat	jj
76780	37	36	whooshes	whoosh	nn2
76800	37	36	condescended	condescend	vvd
76820	37	36	instinctually	instinctually	rr
76840	37	35	juntas	junta	nn2
76860	37	35	northwesterly	northwesterly	jj
76880	37	35	matter-of-factness	matter-of-factness	nn1
76900	37	34	ingrate	ingrate	nn1
76920	37	34	hindmost	hindmost	jj
76940	37	34	house-hunting	house-hunting	jj
76960	37	33	cross-shaped	cross-shaped	jj
76980	37	33	black-oriented	black-oriented	jj
77000	37	32	non-refundable	non-refundable	jj
77020	37	32	waterfronts	waterfront	nn2
77040	37	31	parisian	parisian	nn1
77060	37	30	long-wavelength	long-wavelength	jj
77080	37	30	jiggles	jiggle	nn2
77100	37	29	high-occupancy	high-occupancy	jj
77120	37	28	cockatoos	cockatoo	nn2
77140	37	27	roughy	roughy	jj
77160	37	27	leviathans	leviathan	nn2
77180	37	25	plowman	plowman	nn1
77200	37	24	microsurgical	microsurgical	jj
77220	37	23	one-world	one-world	jj
77240	37	22	institutionalism	institutionalism	nn1
77260	37	20	exhumations	exhumation	nn2
77280	37	18	histiocytes	histiocyte	nn2
77300	37	16	bride-price	bride-price	nn1
77320	37	13	sedentarization	sedentarization	nn1
77340	37	7	succinylcholine	succinylcholine	nn1
77360	36	36	counterattacking	counterattack	vvg
77380	36	36	myopically	myopically	rr
77400	36	36	dirtied	dirty	vvd
77420	36	36	jar	jar	vv0
77440	36	35	pooping	poop	vvg
77460	36	35	skulduggery	skulduggery	nn1
77480	36	35	ivory-colored	ivory-colored	jj
77500	36	35	five-cent	five-cent	jj
77520	36	35	wingspans	wingspan	nn2
77540	36	34	three-foot-high	three-foot-high	jj
77560	36	34	thrice-weekly	thrice-weekly	jj
77580	36	34	furled	furled	jj
77600	36	34	swept-back	swept-back	jj
77620	36	33	lawfulness	lawfulness	nn1
77640	36	33	seceded	secede	vvn
77660	36	33	reposed	repose	vvn
77680	36	32	coproducer	coproducer	nn1
77700	36	32	essayed	essay	vvd
77720	36	31	fumigate	fumigate	vv0
77740	36	30	remodelers	remodeler	nn2
77760	36	30	self-hypnosis	self-hypnosis	nn1
77780	36	29	gigantism	gigantism	nn1
77800	36	29	rebuffs	rebuff	nn2
77820	36	28	semi-sweet	semi-sweet	jj
77840	36	27	sentimentalists	sentimentalist	nn2
77860	36	26	mild-winter	mild-winter	jj
77880	36	26	channelization	channelization	nn1
77900	36	25	piste	piste	nn1
77920	36	24	parfaits	parfait	nn2
77940	36	22	viscose	viscose	nn1
77960	36	21	self-advocacy	self-advocacy	nn1
77980	36	19	cephalopod	cephalopod	nn1
78000	36	17	barbadian	barbadian	jj
78020	36	15	multi-age	multi-age	jj
78040	36	12	periodontitis	periodontitis	nn1
78060	36	7	race-norming	race-norming	nn1
78080	35	35	half-forgotten	half-forgotten	jj
78100	35	35	juggernauts	juggernaut	nn2
78120	35	35	computerizing	computerize	vvg
78140	35	35	soft-pedal	soft-pedal	vv0
78160	35	34	self-designated	self-designated	jj
78180	35	34	chaperone	chaperone	vv0
78200	35	34	broaches	broach	vvz
78220	35	34	mountain-climbing	mountain-climbing	jj
78240	35	33	dilates	dilate	vvz
78260	35	33	couturiers	couturier	nn2
78280	35	33	thin-crust	thin-crust	jj
78300	35	33	ubiquitously	ubiquitously	rr
78320	35	32	nondrinkers	nondrinker	nn2
78340	35	32	instamatic	instamatic	jj
78360	35	32	proletarians	proletarian	nn2
78380	35	31	mid-conversation	mid-conversation	jj
78400	35	31	noncancerous	noncancerous	jj
78420	35	30	italic	italic	jj
78440	35	30	party-building	party-building	jj
78460	35	30	bird-watcher	bird-watcher	nn1
78480	35	29	indian-american	indian-american	jj
78500	35	28	phlebitis	phlebitis	nn1
78520	35	27	hellcat	hellcat	nn1
78540	35	27	incendiaries	incendiary	nn2
78560	35	26	clericalism	clericalism	nn1
78580	35	25	store-brand	store-brand	jj
78600	35	23	goslings	gosling	nn2
78620	35	22	disembodiment	disembodiment	nn1
78640	35	21	melanocytes	melanocyte	nn2
78660	35	19	dosas	dosa	nn2
78680	35	18	pulsatile	pulsatile	jj
78700	35	16	quant	quant	jj
78720	35	14	monopsony	monopsony	nn1
78740	35	12	non-elites	non-elites	jj
78760	35	8	hydrogeologic	hydrogeologic	jj
78780	35	5	leafrollers	leafroller	nn2
78800	34	34	sashays	sashay	vvz
78820	34	34	pink-cheeked	pink-cheeked	jj
78840	34	34	shakiness	shakiness	nn1
78860	34	34	heartened	heartened	jj
78880	34	33	better-funded	better-funded	jj
78900	34	33	stupendously	stupendously	rr
78920	34	33	bloodily	bloodily	rr
78940	34	33	timberlands	timberland	nn2
78960	34	33	oil-stained	oil-stained	jj
78980	34	32	ghettoization	ghettoization	nn1
79000	34	32	zings	zing	nn2
79020	34	32	lockouts	lockout	nn2
79040	34	32	colloquia	colloquia	nn1
79060	34	31	multi-tasking	multi-tasking	jj
79080	34	31	prizing	prize	vvg
79100	34	31	overexertion	overexertion	nn1
79120	34	30	tap-in	tap-in	nn1
79140	34	30	anti-capitalist	anti-capitalist	jj
79160	34	30	gas-filled	gas-filled	jj
79180	34	29	offsides	offside	nn2
79200	34	29	artifices	artifice	nn2
79220	34	28	fisting	fisting	nn1
79240	34	28	saltine	saltine	jj
79260	34	27	shadowbox	shadowbox	nn1
79280	34	27	murres	murre	nn2
79300	34	26	lawn-care	lawn-care	jj
79320	34	26	rubato	rubato	nn1
79340	34	25	rent-a-cop	rent-a-cop	nn1
79360	34	24	cross-trainers	cross-trainer	nn2
79380	34	24	sub-prime	sub-prime	jj
79400	34	23	pre-state	pre-state	jj
79420	34	21	primitively	primitively	rr
79440	34	21	dual-suspension	dual-suspension	jj
79460	34	20	formula-fed	formula-fed	jj
79480	34	19	swim/tennis	swim/tennis	jj
79500	34	17	case-based	case-based	jj
79520	34	15	foreseeability	foreseeability	nn1
79540	34	11	rhodopsin	rhodopsin	nn1
79560	34	9	hornless	hornless	jj
79580	33	33	overenthusiastic	overenthusiastic	jj
79600	33	33	spot-on	spot-on	jj
79620	33	33	gestured	gesture	vvn
79640	33	33	pressure-packed	pressure-packed	jj
79660	33	33	userfriendly	userfriendly	jj
79680	33	32	barrel	barrel	vv0
79700	33	32	gabbling	gabble	vvg
79720	33	32	mailorder	mailorder	jj
79740	33	32	posses	poss	vvz
79760	33	32	team-by-team	team-by-team	jj
79780	33	32	undescribed	undescribed	jj
79800	33	31	cohost	cohost	vv0
79820	33	31	battening	batten	vvg
79840	33	31	hypercompetitive	hypercompetitive	jj
79860	33	31	black-diamond	black-diamond	jj
79880	33	31	compendia	compendium	nn2
79900	33	30	high-walled	high-walled	jj
79920	33	30	cast-offs	cast-off	nn2
79940	33	30	wormed	worm	vvn
79960	33	30	cut-and-paste	cut-and-paste	jj
79980	33	29	sandblast	sandblast	vv0
80000	33	29	conventionalized	conventionalized	jj
80020	33	28	mid-course	mid-course	nn1
80040	33	28	compact-disc	compact-disc	jj
80060	33	27	underwire	underwire	nn1
80080	33	27	microstructures	microstructure	nn2
80100	33	26	undecidable	undecidable	jj
80120	33	25	neurocognitive	neurocognitive	jj
80140	33	25	contractures	contracture	nn2
80160	33	24	single-level	single-level	jj
80180	33	23	dictaphone	dictaphone	nn1
80200	33	22	fairgoers	fairgoer	nn2
80220	33	21	downforce	downforce	nn1
80240	33	20	perineal	perineal	jj
80260	33	19	coinsurance	coinsurance	nn1
80280	33	18	stingless	stingless	jj
80300	33	16	dvd-rom	dvd-rom	nn1
80320	33	14	place-name	place-name	nn1
80340	33	12	disposer	disposer	nn1
80360	33	8	medium-quality	medium-quality	jj
80380	32	32	so-far	so-far	rr
80400	32	32	deduces	deduce	vvz
80420	32	32	armor-plated	armor-plated	jj
80440	32	32	firsttime	firsttime	jj
80460	32	32	best-run	best-run	jj
80480	32	32	romanced	romance	vvd
80500	32	31	nuttier	nutty	jjr
80520	32	31	highprofile	highprofile	jj
80540	32	31	zigs	zig	nn2
80560	32	31	forestalls	forestall	vvz
80580	32	31	endurable	endurable	jj
80600	32	31	on-location	on-location	jj
80620	32	30	pharmacopoeia	pharmacopoeia	nn1
80640	32	30	undercounting	undercounting	nn1
80660	32	30	drabness	drabness	nn1
80680	32	30	abusively	abusively	rr
80700	32	29	babushkas	babushka	nn2
80720	32	29	chlorinated	chlorinate	vvn
80740	32	29	alt-country	alt-country	jj
80760	32	29	crawly	crawly	jj
80780	32	28	communicant	communicant	nn1
80800	32	28	zipped	zipped	jj
80820	32	28	heedlessness	heedlessness	nn1
80840	32	27	cartload	cartload	nn1
80860	32	27	kumbaya	kumbaya	nn1
80880	32	26	anti-modern	anti-modern	jj
80900	32	26	idylls	idyll	nn2
80920	32	25	cenotaph	cenotaph	nn1
80940	32	24	bearnaise	bearnaise	nn1
80960	32	24	orthopaedics	orthopaedics	nn2
80980	32	23	secretory	secretory	jj
81000	32	22	open-endedness	open-endedness	nn1
81020	32	21	visualized	visualized	jj
81040	32	20	military-civilian	military-civilian	jj
81060	32	18	bridgedeck	bridgedeck	nn1
81080	32	17	jewelweed	jewelweed	nn1
81100	32	16	dolphin-safe	dolphin-safe	jj
81120	32	15	roosted	roosted	jj
81140	32	12	lathe-turned	lathe-turned	jj
81160	32	10	patriline	patriline	nn1
81180	32	7	helicity	helicity	nn1
81200	31	31	toughed	tough	vvd
81220	31	31	bottom-line	bottom-line	nn1
81240	31	31	intermingled	intermingled	jj
81260	31	31	antiestablishment	antiestablishment	jj
81280	31	31	third-most	third-most	jj
81300	31	31	outmaneuvering	outmaneuver	vvg
81320	31	30	book-signing	book-signing	jj
81340	31	30	fishtails	fishtail	vvz
81360	31	30	drenches	drench	vvz
81380	31	30	stylishness	stylishness	nn1
81400	31	30	tablemates	tablemate	nn2
81420	31	30	middle-of-the-pack	middle-of-the-pack	jj
81440	31	29	limps	limp	nn2
81460	31	29	pigeon-toed	pigeon-toed	jj
81480	31	29	diddling	diddle	vvg
81500	31	29	self-same	self-same	jj
81520	31	29	pathologize	pathologize	vv0
81540	31	28	distractible	distractible	jj
81560	31	28	virginian	virginian	nn1
81580	31	28	jawed	jawed	jj
81600	31	28	earplug	earplug	nn1
81620	31	27	musicmaking	musicmaking	nn1
81640	31	27	bushy-tailed	bushy-tailed	jj
81660	31	27	home-furnishings	home-furnishings	nn2
81680	31	27	wilful	wilful	jj
81700	31	26	blipped	blip	vvd
81720	31	26	health-based	health-based	jj
81740	31	26	ambulate	ambulate	vv0
81760	31	25	population-control	population-control	jj
81780	31	25	bronzers	bronzer	nn2
81800	31	24	community-development	community-development	jj
81820	31	24	preexistent	preexistent	jj
81840	31	23	ecliptic	ecliptic	nn1
81860	31	23	necropsy	necropsy	jj
81880	31	22	co-option	co-option	nn1
81900	31	22	once-daily	once-daily	jj
81920	31	21	cremations	cremation	nn2
81940	31	20	quietism	quietism	nn1
81960	31	20	canvasbacks	canvasback	nn2
81980	31	19	singlespeed	singlespeed	jj
82000	31	18	malawian	malawian	jj
82020	31	17	velociraptors	velociraptor	nn2
82040	31	15	multigroup	multigroup	jj
82060	31	14	glioma	glioma	nn1
82080	31	13	blackfish	blackfish	nn1
82100	31	11	phronesis	phronesis	nn1
82120	31	9	central-place	central-place	jj
82140	30	30	outdistancing	outdistance	vvg
82160	30	30	intertwines	intertwine	vvz
82180	30	30	sentimentalize	sentimentalize	vv0
82200	30	30	recalculated	recalculate	vvn
82220	30	30	rededicated	rededicate	vvd
82240	30	30	dolts	dolt	nn2
82260	30	30	outspending	outspend	vvg
82280	30	29	anthologized	anthologize	vvn
82300	30	29	squishes	squish	vvz
82320	30	29	unrighteous	unrighteous	jj
82340	30	29	recrossing	recross	vvg
82360	30	29	exorcising	exorcise	vvg
82380	30	29	funkiest	funky	jjt
82400	30	28	unkept	unkept	jj
82420	30	28	environmental-impact	environmental-impact	jj
82440	30	28	icecream	icecream	nn1
82460	30	28	shake-ups	shake-up	nn2
82480	30	27	unassimilated	unassimilated	jj
82500	30	27	flirts	flirt	nn2
82520	30	27	clamshells	clamshell	nn2
82540	30	27	tamely	tamely	rr
82560	30	26	capitalizations	capitalization	nn2
82580	30	26	financial-planning	financial-planning	jj
82600	30	26	doorpost	doorpost	nn1
82620	30	25	headship	headship	nn1
82640	30	25	pretest	pretest	vv0
82660	30	25	groundball	groundball	nn1
82680	30	24	vesting	vest	vvg
82700	30	24	elastics	elastic	nn2
82720	30	23	annexed	annexed	jj
82740	30	23	pro-consumer	pro-consumer	jj
82760	30	22	pictograms	pictogram	nn2
82780	30	22	sunward	sunward	rr
82800	30	21	print-outs	print-out	nn2
82820	30	21	post-debate	post-debate	jj
82840	30	20	intrafamily	intrafamily	jj
82860	30	20	illusionists	illusionist	nn2
82880	30	19	arnica	arnica	nn1
82900	30	18	cowled	cowled	jj
82920	30	18	partialed	partialed	jj
82940	30	17	z-score	z-score	nn1
82960	30	16	breakpoint	breakpoint	nn1
82980	30	15	some-where	some-where	rr
83000	30	14	modernities	modernity	nn2
83020	30	12	somatosensory	somatosensory	jj
83040	30	11	poliovirus	poliovirus	nn1
83060	30	9	roundel	roundel	nn1
83080	29	29	populates	populate	vvz
83100	29	29	teflon-coated	teflon-coated	jj
83120	29	29	engineers	engineer	vvz
83140	29	29	minces	mince	vvz
83160	29	29	fluffier	fluffy	jjr
83180	29	29	reelected	reelect	vvd
83200	29	28	poignance	poignance	nn1
83220	29	28	fast-action	fast-action	jj
83240	29	28	wraithlike	wraithlike	jj
83260	29	28	recalculated	recalculate	vvd
83280	29	28	forsakes	forsake	vvz
83300	29	28	vomits	vomit	nn2
83320	29	28	accosts	accost	vvz
83340	29	27	greying	greying	jj
83360	29	27	infection-fighting	infection-fighting	jj
83380	29	27	weekender	weekender	nn1
83400	29	27	average-looking	average-looking	jj
83420	29	27	butter-colored	butter-colored	jj
83440	29	26	toggling	toggle	vvg
83460	29	26	self-correction	self-correction	nn1
83480	29	26	quarter-turn	quarter-turn	jj
83500	29	26	overstated	overstated	jj
83520	29	26	alphabetized	alphabetized	jj
83540	29	25	normal-weight	normal-weight	jj
83560	29	25	transcendently	transcendently	rr
83580	29	25	pasturing	pasture	vvg
83600	29	24	hip-hoppers	hip-hopper	nn2
83620	29	24	greengrocers	greengrocer	nn2
83640	29	23	bedchambers	bedchamber	nn2
83660	29	23	serb-controlled	serb-controlled	jj
83680	29	23	rollouts	rollout	nn2
83700	29	22	lawn-mower	lawn-mower	jj
83720	29	22	black-suited	black-suited	jj
83740	29	21	short-wavelength	short-wavelength	jj
83760	29	20	sustainment	sustainment	nn1
83780	29	20	hyperglycemia	hyperglycemia	nn1
83800	29	19	young-old	young-old	jj
83820	29	18	pre-performance	pre-performance	jj
83840	29	18	narcos	narco	nn2
83860	29	17	primatologists	primatologist	nn2
83880	29	16	anti-federalist	anti-federalist	jj
83900	29	15	sex-toy	sex-toy	jj
83920	29	14	cop-killer	cop-killer	jj
83940	29	13	high-redshift	high-redshift	jj
83960	29	11	cardioversion	cardioversion	nn1
83980	29	10	necromancers	necromancer	nn2
84000	29	8	consilium	consilium	nn1
84020	29	5	high-acuity	high-acuity	jj
84040	28	28	straight-arrow	straight-arrow	jj
84060	28	28	undeservedly	undeservedly	rr
84080	28	28	flamed	flame	vvn
84100	28	28	commandeers	commandeer	vvz
84120	28	28	great-great-great	great-great-great	jj
84140	28	28	lovably	lovably	jj
84160	28	28	marshalled	marshal	vvn
84180	28	27	ekes	eke	vvz
84200	28	27	modern-looking	modern-looking	jj
84220	28	27	singer-guitarist	singer-guitarist	nn1
84240	28	27	well-coached	well-coached	jj
84260	28	27	ratted	rat	vvn
84280	28	27	outlasts	outlast	vvz
84300	28	27	palpating	palpate	vvg
84320	28	26	self-critique	self-critique	jj
84340	28	26	counseled	counseled	jj
84360	28	26	disobeys	disobey	vvz
84380	28	26	pinions	pinion	nn2
84400	28	26	misplacement	misplacement	nn1
84420	28	26	desecrated	desecrated	jj
84440	28	25	goofballs	goofball	nn2
84460	28	25	muzzling	muzzle	vvg
84480	28	25	indigence	indigence	nn1
84500	28	25	schemed	scheme	vvn
84520	28	25	housebroken	housebroken	jj
84540	28	24	metrowide	metrowide	jj
84560	28	24	frat-boy	frat-boy	jj
84580	28	24	recalculation	recalculation	nn1
84600	28	23	antiracism	antiracism	nn1
84620	28	23	shark-fin	shark-fin	jj
84640	28	23	microhabitats	microhabitat	nn2
84660	28	22	witchhunt	witchhunt	nn1
84680	28	22	reactively	reactively	rr
84700	28	22	briers	brier	nn2
84720	28	21	noncanonical	noncanonical	jj
84740	28	21	gamebird	gamebird	nn1
84760	28	20	robusta	robusta	nn1
84780	28	20	snorer	snorer	nn1
84800	28	19	fraudster	fraudster	nn1
84820	28	19	fire-related	fire-related	jj
84840	28	18	volar	volar	jj
84860	28	17	rolloff	rolloff	nn1
84880	28	16	presbyters	presbyter	nn2
84900	28	14	minitower	minitower	nn1
84920	28	13	conspecific	conspecific	jj
84940	28	12	biodegradability	biodegradability	nn1
84960	28	10	nontribal	nontribal	jj
84980	28	9	overmantel	overmantel	nn1
85000	28	7	mother-adolescent	mother-adolescent	jj
85020	28	5	blastomere	blastomere	nn1
85040	27	27	belabored	belabored	jj
85060	27	27	big-shouldered	big-shouldered	jj
85080	27	27	screeds	screed	nn2
85100	27	27	firstclass	firstclass	jj
85120	27	27	family-like	family-like	jj
85140	27	27	trussed	truss	vvd
85160	27	27	boobs	boob	vvz
85180	27	26	wearied	weary	vvd
85200	27	26	suprisingly	suprisingly	rr
85220	27	26	well-tanned	well-tanned	jj
85240	27	26	business-minded	business-minded	jj
85260	27	26	postdate	postdate	vv0
85280	27	26	carjacked	carjack	vvd
85300	27	26	writer/producer	writer/producer	nn1
85320	27	26	insurgence	insurgence	nn1
85340	27	26	costumers	costumer	nn2
85360	27	25	improvident	improvident	jj
85380	27	25	uncleared	uncleared	jj
85400	27	25	opposite-field	opposite-field	jj
85420	27	25	supply-sider	supply-sider	nn1
85440	27	25	one-back	one-back	jj
85460	27	24	non-residential	non-residential	jj
85480	27	24	overthinking	overthink	vvg
85500	27	24	flash-frozen	flash-frozen	jj
85520	27	24	quart-size	quart-size	jj
85540	27	23	anti-french	anti-french	jj
85560	27	23	warlordism	warlordism	nn1
85580	27	23	coffee-shop	coffee-shop	jj
85600	27	23	extra-terrestrial	extra-terrestrial	jj
85620	27	22	messing	messing	nn1
85640	27	22	panoptic	panoptic	jj
85660	27	22	substrata	substratum	nn2
85680	27	21	post-coup	post-coup	jj
85700	27	21	anti-nausea	anti-nausea	jj
85720	27	20	dhows	dhow	nn2
85740	27	20	noninstitutional	noninstitutional	jj
85760	27	20	deists	deist	nn2
85780	27	19	nocked	nock	vvd
85800	27	19	cha-ching	cha-ching	nn1
85820	27	18	raconteurs	raconteur	nn2
85840	27	18	cartilages	cartilage	nn2
85860	27	17	post-divorce	post-divorce	jj
85880	27	16	abortifacient	abortifacient	jj
85900	27	16	post-polio	post-polio	jj
85920	27	15	differentiable	differentiable	jj
85940	27	14	forewings	forewing	nn2
85960	27	13	subcomponent	subcomponent	nn1
85980	27	11	pre-nuptial	pre-nuptial	jj
86000	27	10	self-relevant	self-relevant	jj
86020	27	8	skald	skald	nn1
86040	27	6	psychs	psych	nn2
86060	26	26	earth-tone	earth-tone	jj
86080	26	26	short-short	short-short	jj
86100	26	26	comfortable-looking	comfortable-looking	jj
86120	26	26	regurgitated	regurgitate	vvn
86140	26	26	ethereally	ethereally	rr
86160	26	26	bumper-sticker	bumper-sticker	jj
86180	26	26	in-joke	in-joke	nn1
86200	26	26	low-yielding	low-yielding	jj
86220	26	26	co-existed	co-exist	vvd
86240	26	25	quasi-legal	quasi-legal	jj
86260	26	25	aviaries	aviary	nn2
86280	26	25	masseurs	masseur	nn2
86300	26	25	highest-risk	highest-risk	jj
86320	26	25	contrariness	contrariness	nn1
86340	26	25	self-assurance	self-assurance	jj
86360	26	25	state-dominated	state-dominated	jj
86380	26	25	highenergy	highenergy	jj
86400	26	24	demur	demur	nn1
86420	26	24	rusts	rust	vvz
86440	26	24	self-avowed	self-avowed	jj
86460	26	24	co-inventor	co-inventor	nn1
86480	26	24	depreciated	depreciate	vvd
86500	26	24	undesignated	undesignated	jj
86520	26	24	medical-device	medical-device	jj
86540	26	23	ordains	ordain	vvz
86560	26	23	immune-boosting	immune-boosting	jj
86580	26	23	decoupled	decouple	vvd
86600	26	23	detainment	detainment	nn1
86620	26	22	crisped	crisp	vvn
86640	26	22	telco	telco	nn1
86660	26	22	low-country	low-country	jj
86680	26	22	elderberries	elderberry	nn2
86700	26	21	tumescent	tumescent	jj
86720	26	21	unbraided	unbraided	jj
86740	26	21	sacerdotal	sacerdotal	jj
86760	26	20	sea-launched	sea-launched	jj
86780	26	20	semigloss	semigloss	nn1
86800	26	20	assessable	assessable	jj
86820	26	19	celeriac	celeriac	nn1
86840	26	19	bairn	bairn	nn1
86860	26	19	pit-bull	pit-bull	jj
86880	26	18	thyroids	thyroid	nn2
86900	26	18	instantiates	instantiate	vvz
86920	26	17	eponym	eponym	nn1
86940	26	17	toponyms	toponym	nn2
86960	26	16	ephemeris	ephemeris	nn1
86980	26	15	leadeth	lead	vvz
87000	26	15	squeezebox	squeezebox	nn1
87020	26	14	ackee	ackee	nn1
87040	26	13	odorants	odorant	nn2
87060	26	13	neovascularization	neovascularization	nn1
87080	26	12	mezzotint	mezzotint	nn1
87100	26	11	sisterhoods	sisterhood	nn2
87120	26	9	total-coliform	total-coliform	jj
87140	26	7	intra-personal	intra-personal	jj
87160	26	5	telescreen	telescreen	nn1
87180	25	25	crate	crate	vv0
87200	25	25	forwards	forward	vvz
87220	25	25	well-schooled	well-schooled	jj
87240	25	25	neatnik	neatnik	nn1
87260	25	25	thrums	thrum	nn2
87280	25	25	spring-blooming	spring-blooming	jj
87300	25	25	clothed	clothe	vvd
87320	25	25	self-starters	self-starter	nn2
87340	25	25	clumsier	clumsy	jjr
87360	25	24	burnt-orange	burnt-orange	jj
87380	25	24	grudge	grudge	vv0
87400	25	24	spiritedly	spiritedly	rr
87420	25	24	self-exile	self-exile	nn1
87440	25	24	copout	copout	nn1
87460	25	24	guilelessly	guilelessly	rr
87480	25	24	cyberworld	cyberworld	nn1
87500	25	24	nine-man	nine-man	jj
87520	25	24	as-yet-unnamed	as-yet-unnamed	jj
87540	25	23	zephyrs	zephyr	nn2
87560	25	23	workmates	workmate	nn2
87580	25	23	self-actualization	self-actualization	jj
87600	25	23	larders	larder	nn2
87620	25	23	appeasers	appeaser	nn2
87640	25	23	schooldays	schoolday	nn2
87660	25	22	eveningwear	eveningwear	nn1
87680	25	22	drug-abuse	drug-abuse	jj
87700	25	22	anti-skid	anti-skid	jj
87720	25	22	black-leather	black-leather	jj
87740	25	22	mastication	mastication	nn1
87760	25	21	deathwatch	deathwatch	nn1
87780	25	21	under-reporting	under-reporting	nn1
87800	25	21	aldehydes	aldehyde	nn2
87820	25	21	brogans	brogan	nn2
87840	25	20	hardshell	hardshell	jj
87860	25	20	stone-paved	stone-paved	jj
87880	25	20	expressionist	expressionist	jj
87900	25	19	turbos	turbo	nn2
87920	25	19	buy-outs	buy-out	nn2
87940	25	19	taquitos	taquito	nn2
87960	25	18	subject-area	subject-area	jj
87980	25	18	practicums	practicum	nn2
88000	25	18	pound-feet	pound-feet	jj
88020	25	17	halfpipes	halfpipe	nn2
88040	25	17	fishbone	fishbone	nn1
88060	25	16	disease-prevention	disease-prevention	jj
88080	25	16	non-coercive	non-coercive	jj
88100	25	15	mouser	mouser	nn1
88120	25	15	technology-enhanced	technology-enhanced	jj
88140	25	14	nearside	nearside	nn1
88160	25	13	workflows	workflow	nn2
88180	25	13	chasuble	chasuble	nn1
88200	25	12	underlayment	underlayment	nn1
88220	25	11	autogenous	autogenous	jj
88240	25	10	focalized	focalized	jj
88260	25	9	pares	par	nn2
88280	25	7	nudibranch	nudibranch	nn1
88300	25	5	periodized	periodized	jj
88320	24	24	utilitarians	utilitarian	nn2
88340	24	24	less-is-more	less-is-more	jj
88360	24	24	ex-army	ex-army	jj
88380	24	24	world-beating	world-beating	jj
88400	24	24	number-crunching	number-crunching	jj
88420	24	24	muchneeded	muchneeded	jj
88440	24	24	steamrolled	steamroll	vvn
88460	24	24	eight-fifteen	eight-fifteen	mc
88480	24	24	capsizes	capsize	vvz
88500	24	24	twoyear	twoyear	jj
88520	24	23	water-loving	water-loving	jj
88540	24	23	camel-colored	camel-colored	jj
88560	24	23	faux-fur	faux-fur	jj
88580	24	23	professionalizing	professionalize	vvg
88600	24	23	thirst-quenching	thirst-quenching	jj
88620	24	23	bellmen	bellman	nn2
88640	24	23	no-new-taxes	no-new-taxes	jj
88660	24	23	decanting	decant	vvg
88680	24	23	energy-hungry	energy-hungry	jj
88700	24	23	brightly-lit	brightly-lit	jj
88720	24	23	three-dimensionally	three-dimensionally	rr
88740	24	22	high-stepping	high-stepping	nn1
88760	24	22	limpness	limpness	nn1
88780	24	22	boutonniere	boutonniere	nn1
88800	24	22	batch	batch	vv0
88820	24	22	cross-train	cross-train	vv0
88840	24	22	molestations	molestation	nn2
88860	24	22	corseted	corseted	jj
88880	24	22	incidently	incidently	rr
88900	24	21	toddies	toddy	nn2
88920	24	21	fellow-travelers	fellow-travelers	jj
88940	24	21	transcendentally	transcendentally	rr
88960	24	21	untilled	untilled	jj
88980	24	21	paintwork	paintwork	nn1
89000	24	20	six-cd	six-cd	jj
89020	24	20	armorers	armorer	nn2
89040	24	20	lower-ranked	lower-ranked	jj
89060	24	20	defrosted	defrosted	jj
89080	24	19	appeals-court	appeals-court	jj
89100	24	19	post-freudian	post-freudian	jj
89120	24	19	second-strike	second-strike	jj
89140	24	19	fifty-fourth	fifty-fourth	md
89160	24	18	coevolutionary	coevolutionary	jj
89180	24	18	pedalling	pedal	vvg
89200	24	17	gynaecology	gynaecology	nn1
89220	24	17	difficile	difficile	jj
89240	24	16	stiffnesses	stiffness	nn2
89260	24	16	gnatcatcher	gnatcatcher	nn1
89280	24	15	waterboarded	waterboard	vvn
89300	24	15	bakeware	bakeware	nn1
89320	24	14	lyres	lyre	nn2
89340	24	14	scrod	scrod	nn1
89360	24	13	emplotment	emplotment	nn1
89380	24	13	trypsin	trypsin	nn1
